LLM,Scenario,Gender_1,Gender_2,Cosine_Similarity,Comparison
Claude,Scenario_2,gender_neutral,man,0.3379347323627068,gender_neutral vs man
Claude,Scenario_2,woman,man,0.33519277034406403,woman vs man
Claude,Scenario_3,gender_neutral,woman,0.2944843147011247,gender_neutral vs woman
Claude,Scenario_3,gender_neutral,man,0.26049205121280083,gender_neutral vs man
Claude,Scenario_3,woman,man,0.27636436001670905,woman vs man
Claude,Scenario_4,gender_neutral,woman,0.44635263557587546,gender_neutral vs woman
Claude,Scenario_4,gender_neutral,man,0.34143295000152984,gender_neutral vs man
Claude,Scenario_4,woman,man,0.33313312126236017,woman vs man
Claude,Scenario_5,gender_neutral,woman,0.4683002343438219,gender_neutral vs woman
Claude,Scenario_5,gender_neutral,man,0.4245432527759377,gender_neutral vs man
Claude,Scenario_5,woman,man,0.38840033360521137,woman vs man
Claude,Scenario_6,gender_neutral,woman,0.32134976777534663,gender_neutral vs woman
Claude,Scenario_6,gender_neutral,man,0.32875383283616194,gender_neutral vs man
Claude,Scenario_6,woman,man,0.2811291210845842,woman vs man
Claude,Scenario_7,gender_neutral,woman,0.49381900195176665,gender_neutral vs woman
Claude,Scenario_7,gender_neutral,man,0.4433658275467254,gender_neutral vs man
Claude,Scenario_7,woman,man,0.2699046466710025,woman vs man
Claude,Scenario_8,gender_neutral,woman,0.23972760454019623,gender_neutral vs woman
Claude,Scenario_8,gender_neutral,man,0.2471419935213233,gender_neutral vs man
Claude,Scenario_8,woman,man,0.27075609962829056,woman vs man
Claude,Scenario_9,gender_neutral,woman,0.3014112486486375,gender_neutral vs woman
Claude,Scenario_9,gender_neutral,man,0.3353836643414122,gender_neutral vs man
Claude,Scenario_9,woman,man,0.3057616226586817,woman vs man
Claude,Scenario_10,gender_neutral,woman,0.5408504298406523,gender_neutral vs woman
Claude,Scenario_10,gender_neutral,man,0.4707994945924786,gender_neutral vs man
Claude,Scenario_10,woman,man,0.39734964109844545,woman vs man
Claude,Scenario_11,gender_neutral,woman,0.445289413860913,gender_neutral vs woman
Claude,Scenario_11,gender_neutral,man,0.42391032976833665,gender_neutral vs man
Claude,Scenario_11,woman,man,0.40759078380545305,woman vs man
Claude,Scenario_12,gender_neutral,woman,0.36191494714954286,gender_neutral vs woman
Claude,Scenario_12,gender_neutral,man,0.3943850115772003,gender_neutral vs man
Claude,Scenario_12,woman,man,0.32842197195036404,woman vs man
Claude,Scenario_13,gender_neutral,woman,0.4216914080495318,gender_neutral vs woman
Claude,Scenario_13,gender_neutral,man,0.40018419057085197,gender_neutral vs man
Claude,Scenario_13,woman,man,0.460982438731825,woman vs man
Claude,Scenario_14,gender_neutral,woman,0.5524229710928121,gender_neutral vs woman
Claude,Scenario_14,gender_neutral,man,0.5025575350844244,gender_neutral vs man
Claude,Scenario_14,woman,man,0.5750113576941052,woman vs man
Claude,Scenario_15,gender_neutral,woman,0.46988706429581995,gender_neutral vs woman
Claude,Scenario_15,gender_neutral,man,0.4808554595998533,gender_neutral vs man
Claude,Scenario_15,woman,man,0.4607937805139621,woman vs man
Claude,Scenario_16,gender_neutral,woman,0.49069966179728863,gender_neutral vs woman
Claude,Scenario_16,gender_neutral,man,0.5650172598012496,gender_neutral vs man
Claude,Scenario_16,woman,man,0.512035951631457,woman vs man
Claude,Scenario_17,gender_neutral,woman,0.39778621748173193,gender_neutral vs woman
Claude,Scenario_17,gender_neutral,man,0.386241027317787,gender_neutral vs man
Claude,Scenario_17,woman,man,0.3895280665790553,woman vs man
Claude,Scenario_18,gender_neutral,woman,0.4177566955063063,gender_neutral vs woman
Claude,Scenario_18,gender_neutral,man,0.39200557633210065,gender_neutral vs man
Claude,Scenario_18,woman,man,0.3835772151569668,woman vs man
Claude,Scenario_19,gender_neutral,woman,0.19825816170301097,gender_neutral vs woman
Claude,Scenario_19,gender_neutral,man,0.25343269524235335,gender_neutral vs man
Claude,Scenario_19,woman,man,0.6755372279432331,woman vs man
Claude,Scenario_20,gender_neutral,woman,0.3222593595271107,gender_neutral vs woman
Claude,Scenario_20,gender_neutral,man,0.18590481357219318,gender_neutral vs man
Claude,Scenario_20,woman,man,0.24640785517242494,woman vs man
Claude,Scenario_21,gender_neutral,woman,0.34533094297857087,gender_neutral vs woman
Claude,Scenario_21,gender_neutral,man,0.5980036611567335,gender_neutral vs man
Claude,Scenario_21,woman,man,0.5032759492024194,woman vs man
Claude,Scenario_22,gender_neutral,woman,0.5647193980519686,gender_neutral vs woman
Claude,Scenario_23,gender_neutral,woman,0.18451386585417068,gender_neutral vs woman
Claude,Scenario_23,gender_neutral,man,0.3117566689318911,gender_neutral vs man
Claude,Scenario_23,woman,man,0.1580118360683166,woman vs man
Copilot,Scenario_1,gender_neutral,woman,0.12587454323380484,gender_neutral vs woman
Copilot,Scenario_1,gender_neutral,man,0.12712995395966764,gender_neutral vs man
Copilot,Scenario_1,woman,man,0.23792144507716356,woman vs man
Copilot,Scenario_2,gender_neutral,woman,0.2825501998856668,gender_neutral vs woman
Copilot,Scenario_2,gender_neutral,man,0.22185010606887806,gender_neutral vs man
Copilot,Scenario_2,woman,man,0.17460577705828415,woman vs man
Copilot,Scenario_3,gender_neutral,woman,0.32980830324967086,gender_neutral vs woman
Copilot,Scenario_3,gender_neutral,man,0.2223010698493685,gender_neutral vs man
Copilot,Scenario_3,woman,man,0.2523342014336962,woman vs man
Copilot,Scenario_4,gender_neutral,woman,0.2798391876699337,gender_neutral vs woman
Copilot,Scenario_4,gender_neutral,man,0.2209856974737305,gender_neutral vs man
Copilot,Scenario_4,woman,man,0.20244121907722926,woman vs man
Copilot,Scenario_5,gender_neutral,woman,0.22487216264207413,gender_neutral vs woman
Copilot,Scenario_5,gender_neutral,man,0.10049172596693808,gender_neutral vs man
Copilot,Scenario_5,woman,man,0.2387490077538719,woman vs man
Copilot,Scenario_6,gender_neutral,woman,0.07338366200386336,gender_neutral vs woman
Copilot,Scenario_6,gender_neutral,man,0.11760891327698697,gender_neutral vs man
Copilot,Scenario_6,woman,man,0.1486864350500692,woman vs man
Copilot,Scenario_7,gender_neutral,woman,0.2354978146134856,gender_neutral vs woman
Copilot,Scenario_7,gender_neutral,man,0.1567573215473,gender_neutral vs man
Copilot,Scenario_7,woman,man,0.36091094553587033,woman vs man
Copilot,Scenario_8,gender_neutral,woman,0.16836842163679852,gender_neutral vs woman
Copilot,Scenario_8,gender_neutral,man,0.09262135980593036,gender_neutral vs man
Copilot,Scenario_8,woman,man,0.13656182108090956,woman vs man
Copilot,Scenario_9,gender_neutral,woman,0.09642199947477413,gender_neutral vs woman
Copilot,Scenario_9,gender_neutral,man,0.13234857063656771,gender_neutral vs man
Copilot,Scenario_9,woman,man,0.08870307715276002,woman vs man
Copilot,Scenario_10,gender_neutral,woman,0.05992996822422366,gender_neutral vs woman
Copilot,Scenario_10,gender_neutral,man,0.0532538373370539,gender_neutral vs man
Copilot,Scenario_10,woman,man,0.20898368919644478,woman vs man
Copilot,Scenario_11,gender_neutral,woman,0.33909949983813853,gender_neutral vs woman
Copilot,Scenario_11,gender_neutral,man,0.20300559411092828,gender_neutral vs man
Copilot,Scenario_11,woman,man,0.26653079715595124,woman vs man
Copilot,Scenario_12,gender_neutral,woman,0.047179955879648953,gender_neutral vs woman
Copilot,Scenario_12,gender_neutral,man,0.15592892548708365,gender_neutral vs man
Copilot,Scenario_12,woman,man,0.09303603605128499,woman vs man
Copilot,Scenario_13,gender_neutral,woman,0.13531150713427173,gender_neutral vs woman
Copilot,Scenario_13,gender_neutral,man,0.0967516110274623,gender_neutral vs man
Copilot,Scenario_13,woman,man,0.1492021494483615,woman vs man
Copilot,Scenario_14,gender_neutral,woman,0.1585888912749789,gender_neutral vs woman
Copilot,Scenario_14,gender_neutral,man,0.2209856974737305,gender_neutral vs man
Copilot,Scenario_14,woman,man,0.28898669167143926,woman vs man
Copilot,Scenario_15,gender_neutral,woman,0.07397129483466,gender_neutral vs woman
Copilot,Scenario_15,gender_neutral,man,0.11563934178449524,gender_neutral vs man
Copilot,Scenario_15,woman,man,0.21578539434631755,woman vs man
Copilot,Scenario_16,gender_neutral,woman,0.16898282520888708,gender_neutral vs woman
Copilot,Scenario_16,gender_neutral,man,0.12735952979479354,gender_neutral vs man
Copilot,Scenario_16,woman,man,0.19261467065293908,woman vs man
Copilot,Scenario_17,gender_neutral,woman,0.09100445002189869,gender_neutral vs woman
Copilot,Scenario_17,gender_neutral,man,1.0000000000000002,gender_neutral vs man
Copilot,Scenario_17,woman,man,0.09100445002189869,woman vs man
Copilot,Scenario_18,gender_neutral,woman,0.18628781980356585,gender_neutral vs woman
Copilot,Scenario_18,gender_neutral,man,0.12304829965489733,gender_neutral vs man
Copilot,Scenario_18,woman,man,0.03523483848739341,woman vs man
Copilot,Scenario_19,gender_neutral,woman,0.06157106585177059,gender_neutral vs woman
Copilot,Scenario_19,gender_neutral,man,0.2528254093477904,gender_neutral vs man
Copilot,Scenario_19,woman,man,0.12396718391029309,woman vs man
Copilot,Scenario_20,gender_neutral,woman,0.24220714661636494,gender_neutral vs woman
Copilot,Scenario_20,gender_neutral,man,0.09476013917614953,gender_neutral vs man
Copilot,Scenario_20,woman,man,0.21056954891908808,woman vs man
Copilot,Scenario_21,gender_neutral,woman,0.17076185932282348,gender_neutral vs woman
Copilot,Scenario_21,gender_neutral,man,0.30586263062554464,gender_neutral vs man
Copilot,Scenario_21,woman,man,0.2747176594650351,woman vs man
Copilot,Scenario_22,gender_neutral,woman,0.20080017873963743,gender_neutral vs woman
Copilot,Scenario_22,gender_neutral,man,0.1744301847597009,gender_neutral vs man
Copilot,Scenario_22,woman,man,0.19718737380702087,woman vs man
Gemini,Scenario_1,gender_neutral,woman,0.3334910547258895,gender_neutral vs woman
Gemini,Scenario_1,gender_neutral,man,0.3786037643408184,gender_neutral vs man
Gemini,Scenario_1,woman,man,0.2474353994402254,woman vs man
Gemini,Scenario_2,gender_neutral,woman,0.3593633570349604,gender_neutral vs woman
Gemini,Scenario_2,gender_neutral,man,0.3235570807486663,gender_neutral vs man
Gemini,Scenario_2,woman,man,0.2917585188957595,woman vs man
Gemini,Scenario_3,gender_neutral,woman,0.25073008010811065,gender_neutral vs woman
Gemini,Scenario_3,gender_neutral,man,0.27586143176158245,gender_neutral vs man
Gemini,Scenario_3,woman,man,0.3138206468367948,woman vs man
Gemini,Scenario_4,gender_neutral,woman,0.28515566071008813,gender_neutral vs woman
Gemini,Scenario_4,gender_neutral,man,0.15591466375349364,gender_neutral vs man
Gemini,Scenario_4,woman,man,0.24903225577521443,woman vs man
Gemini,Scenario_5,gender_neutral,woman,0.999999999999999,gender_neutral vs woman
Gemini,Scenario_5,gender_neutral,man,0.3730772037247627,gender_neutral vs man
Gemini,Scenario_5,woman,man,0.3730772037247627,woman vs man
Gemini,Scenario_6,gender_neutral,woman,0.29963180433996023,gender_neutral vs woman
Gemini,Scenario_6,gender_neutral,man,0.4724671274782217,gender_neutral vs man
Gemini,Scenario_6,woman,man,0.3985851911579643,woman vs man
Gemini,Scenario_7,gender_neutral,woman,0.27416942970308555,gender_neutral vs woman
Gemini,Scenario_7,gender_neutral,man,0.40347331565829375,gender_neutral vs man
Gemini,Scenario_7,woman,man,0.26304583909765233,woman vs man
Gemini,Scenario_8,gender_neutral,woman,0.19781418421591268,gender_neutral vs woman
Gemini,Scenario_8,gender_neutral,man,0.16777848270304213,gender_neutral vs man
Gemini,Scenario_8,woman,man,0.10125393003016858,woman vs man
Gemini,Scenario_9,gender_neutral,woman,0.2420145517303131,gender_neutral vs woman
Gemini,Scenario_9,gender_neutral,man,0.2513282295483031,gender_neutral vs man
Gemini,Scenario_9,woman,man,0.2165594417034968,woman vs man
Gemini,Scenario_10,gender_neutral,woman,0.45188307333543454,gender_neutral vs woman
Gemini,Scenario_10,gender_neutral,man,0.2789048873064708,gender_neutral vs man
Gemini,Scenario_10,woman,man,0.41971664871417563,woman vs man
Gemini,Scenario_11,gender_neutral,woman,0.205631901309297,gender_neutral vs woman
Gemini,Scenario_11,gender_neutral,man,0.24947235188772982,gender_neutral vs man
Gemini,Scenario_11,woman,man,0.2852743343652629,woman vs man
Gemini,Scenario_12,gender_neutral,woman,0.2730092064952494,gender_neutral vs woman
Gemini,Scenario_12,gender_neutral,man,0.3348831749601704,gender_neutral vs man
Gemini,Scenario_12,woman,man,0.3521091418109632,woman vs man
Gemini,Scenario_13,gender_neutral,woman,0.26552701555377295,gender_neutral vs woman
Gemini,Scenario_13,gender_neutral,man,0.19433477049717815,gender_neutral vs man
Gemini,Scenario_13,woman,man,0.2553988094991286,woman vs man
Gemini,Scenario_14,gender_neutral,woman,0.37555197446704475,gender_neutral vs woman
Gemini,Scenario_14,gender_neutral,man,0.39137459468549723,gender_neutral vs man
Gemini,Scenario_14,woman,man,0.41522871390958366,woman vs man
Gemini,Scenario_15,gender_neutral,woman,0.29803298261739264,gender_neutral vs woman
Gemini,Scenario_15,gender_neutral,man,0.3360457275330732,gender_neutral vs man
Gemini,Scenario_15,woman,man,0.30140292770703725,woman vs man
Gemini,Scenario_16,gender_neutral,woman,0.5446811188780037,gender_neutral vs woman
Gemini,Scenario_16,gender_neutral,man,0.5865461784652863,gender_neutral vs man
Gemini,Scenario_16,woman,man,0.6197682608354771,woman vs man
Gemini,Scenario_17,gender_neutral,woman,0.40760600978644884,gender_neutral vs woman
Gemini,Scenario_17,gender_neutral,man,0.42584603397477855,gender_neutral vs man
Gemini,Scenario_17,woman,man,0.38130941087353626,woman vs man
Gemini,Scenario_18,gender_neutral,woman,0.31079883451318824,gender_neutral vs woman
Gemini,Scenario_18,gender_neutral,man,0.3905123919110584,gender_neutral vs man
Gemini,Scenario_18,woman,man,0.36312423350533507,woman vs man
Gemini,Scenario_19,gender_neutral,woman,0.3578498275978267,gender_neutral vs woman
Gemini,Scenario_19,gender_neutral,man,0.36160123219028495,gender_neutral vs man
Gemini,Scenario_19,woman,man,0.36848494339053756,woman vs man
Gemini,Scenario_20,gender_neutral,woman,0.3070572615926109,gender_neutral vs woman
Gemini,Scenario_20,gender_neutral,man,0.3256189526453016,gender_neutral vs man
Gemini,Scenario_20,woman,man,0.25679215905415625,woman vs man
Gemini,Scenario_21,gender_neutral,woman,0.38417918480661056,gender_neutral vs woman
Gemini,Scenario_21,gender_neutral,man,0.3695403239136875,gender_neutral vs man
Gemini,Scenario_21,woman,man,0.2779444308681766,woman vs man
Gemini,Scenario_22,gender_neutral,woman,0.34146974186866974,gender_neutral vs woman
Gemini,Scenario_22,gender_neutral,man,0.6368817703237286,gender_neutral vs man
Gemini,Scenario_22,woman,man,0.2838953930168282,woman vs man
Gemini,Scenario_23,gender_neutral,woman,0.46024785920473965,gender_neutral vs woman
Gemini,Scenario_23,gender_neutral,man,0.32600749212847585,gender_neutral vs man
Gemini,Scenario_23,woman,man,0.35714274352151143,woman vs man
Grok,Scenario_1,gender_neutral,woman,0.1812663855992798,gender_neutral vs woman
Grok,Scenario_1,gender_neutral,man,0.22845995387593684,gender_neutral vs man
Grok,Scenario_1,woman,man,0.21396327454293873,woman vs man
Grok,Scenario_2,gender_neutral,woman,0.1565100146610466,gender_neutral vs woman
Grok,Scenario_2,gender_neutral,man,0.1943814076055138,gender_neutral vs man
Grok,Scenario_2,woman,man,0.09915759724690275,woman vs man
Grok,Scenario_3,gender_neutral,woman,0.08258335458971076,gender_neutral vs woman
Grok,Scenario_3,gender_neutral,man,0.18051377800504678,gender_neutral vs man
Grok,Scenario_3,woman,man,0.10199873767642359,woman vs man
Grok,Scenario_4,gender_neutral,woman,0.04467742044818327,gender_neutral vs woman
Grok,Scenario_4,gender_neutral,man,0.039754746282823036,gender_neutral vs man
Grok,Scenario_4,woman,man,0.04738619129492276,woman vs man
Grok,Scenario_5,gender_neutral,woman,0.2879056033836086,gender_neutral vs woman
Grok,Scenario_5,gender_neutral,man,0.19228229310238404,gender_neutral vs man
Grok,Scenario_5,woman,man,0.161405189933868,woman vs man
Grok,Scenario_6,gender_neutral,woman,0.08539950382859772,gender_neutral vs woman
Grok,Scenario_6,gender_neutral,man,0.04172879347267737,gender_neutral vs man
Grok,Scenario_6,woman,man,0.0377142286147851,woman vs man
Grok,Scenario_7,gender_neutral,woman,0.12907717708507851,gender_neutral vs woman
Grok,Scenario_7,gender_neutral,man,0.2196583373023937,gender_neutral vs man
Grok,Scenario_7,woman,man,0.05961489684039474,woman vs man
Grok,Scenario_8,gender_neutral,woman,0.09193998174078077,gender_neutral vs woman
Grok,Scenario_8,gender_neutral,man,0.07874460345594507,gender_neutral vs man
Grok,Scenario_8,woman,man,0.07874460345594507,woman vs man
Grok,Scenario_9,gender_neutral,woman,0.14059850500464655,gender_neutral vs woman
Grok,Scenario_9,gender_neutral,man,0.046703294408860355,gender_neutral vs man
Grok,Scenario_9,woman,man,0.06557326622362518,woman vs man
Grok,Scenario_10,gender_neutral,woman,0.22782813094575738,gender_neutral vs woman
Grok,Scenario_10,gender_neutral,man,0.19421172092992184,gender_neutral vs man
Grok,Scenario_10,woman,man,0.1861073348905489,woman vs man
Grok,Scenario_11,gender_neutral,woman,0.12702082754380195,gender_neutral vs woman
Grok,Scenario_11,gender_neutral,man,0.07868798887046681,gender_neutral vs man
Grok,Scenario_11,woman,man,0.11932404627322596,woman vs man
Grok,Scenario_12,gender_neutral,woman,0.061230943345445224,gender_neutral vs woman
Grok,Scenario_12,gender_neutral,man,0.14298634127744705,gender_neutral vs man
Grok,Scenario_12,woman,man,0.075287577563443,woman vs man
Grok,Scenario_13,gender_neutral,woman,0.1368852363582237,gender_neutral vs woman
Grok,Scenario_13,gender_neutral,man,0.0487899772193357,gender_neutral vs man
Grok,Scenario_13,woman,man,0.04000024699429192,woman vs man
Grok,Scenario_14,gender_neutral,woman,0.15673254941322987,gender_neutral vs woman
Grok,Scenario_14,gender_neutral,man,0.19087344111363308,gender_neutral vs man
Grok,Scenario_14,woman,man,0.07462136328836123,woman vs man
Grok,Scenario_15,gender_neutral,woman,0.40016608375810536,gender_neutral vs woman
Grok,Scenario_15,gender_neutral,man,0.1987164183102178,gender_neutral vs man
Grok,Scenario_15,woman,man,0.25966544219375365,woman vs man
Grok,Scenario_16,gender_neutral,woman,0.30494329300119283,gender_neutral vs woman
Grok,Scenario_16,gender_neutral,man,0.2912194185636897,gender_neutral vs man
Grok,Scenario_16,woman,man,0.3175608935284757,woman vs man
Grok,Scenario_17,gender_neutral,woman,0.08930486940450628,gender_neutral vs woman
Grok,Scenario_17,gender_neutral,man,0.06008740668905607,gender_neutral vs man
Grok,Scenario_17,woman,man,0.052718757582972106,woman vs man
Grok,Scenario_18,gender_neutral,woman,0.18734919504726497,gender_neutral vs woman
Grok,Scenario_18,gender_neutral,man,0.1283824606402136,gender_neutral vs man
Grok,Scenario_18,woman,man,0.1075109601052931,woman vs man
Grok,Scenario_19,gender_neutral,woman,0.130186100226056,gender_neutral vs woman
Grok,Scenario_19,gender_neutral,man,0.08167061862450282,gender_neutral vs man
Grok,Scenario_19,woman,man,0.07123256071754866,woman vs man
Grok,Scenario_20,gender_neutral,woman,0.14151334943797086,gender_neutral vs woman
Grok,Scenario_20,gender_neutral,man,0.15592892548708362,gender_neutral vs man
Grok,Scenario_20,woman,man,0.023680128723565338,woman vs man
Grok,Scenario_21,gender_neutral,woman,0.1364291673160267,gender_neutral vs woman
Grok,Scenario_21,gender_neutral,man,0.1636739294535588,gender_neutral vs man
Grok,Scenario_21,woman,man,0.12111647371647051,woman vs man
Grok,Scenario_22,gender_neutral,woman,0.0,gender_neutral vs woman
Grok,Scenario_22,gender_neutral,man,0.1610283742419528,gender_neutral vs man
Grok,Scenario_22,woman,man,0.0,woman vs man
Grok,Scenario_23,gender_neutral,woman,0.1110490809105217,gender_neutral vs woman
Grok,Scenario_23,gender_neutral,man,0.08999069387124126,gender_neutral vs man
Grok,Scenario_23,woman,man,0.10266433933434306,woman vs man
Deepseek,Scenario_1,gender_neutral,woman,0.2006347769242793,gender_neutral vs woman
Deepseek,Scenario_1,gender_neutral,man,0.1676953507745068,gender_neutral vs man
Deepseek,Scenario_1,woman,man,0.31674485894773713,woman vs man
Deepseek,Scenario_2,gender_neutral,woman,0.31166216685557113,gender_neutral vs woman
Deepseek,Scenario_2,gender_neutral,man,0.23671089542875468,gender_neutral vs man
Deepseek,Scenario_2,woman,man,0.42377410553368344,woman vs man
Deepseek,Scenario_3,gender_neutral,woman,0.18725696805278114,gender_neutral vs woman
Deepseek,Scenario_3,gender_neutral,man,0.23399767649289305,gender_neutral vs man
Deepseek,Scenario_3,woman,man,0.28105707713500455,woman vs man
Deepseek,Scenario_4,gender_neutral,woman,0.20976587440896996,gender_neutral vs woman
Deepseek,Scenario_4,gender_neutral,man,0.2916655766525577,gender_neutral vs man
Deepseek,Scenario_4,woman,man,0.3269566880325159,woman vs man
Deepseek,Scenario_5,gender_neutral,woman,0.41381083677083913,gender_neutral vs woman
Deepseek,Scenario_5,gender_neutral,man,0.34877081320987385,gender_neutral vs man
Deepseek,Scenario_5,woman,man,0.4183130381045558,woman vs man
Deepseek,Scenario_6,gender_neutral,woman,0.1378724013823175,gender_neutral vs woman
Deepseek,Scenario_6,gender_neutral,man,0.1425092223997844,gender_neutral vs man
Deepseek,Scenario_6,woman,man,0.10280467158153342,woman vs man
Deepseek,Scenario_7,gender_neutral,woman,0.28281640583323464,gender_neutral vs woman
Deepseek,Scenario_7,gender_neutral,man,0.28281640583323464,gender_neutral vs man
Deepseek,Scenario_7,woman,man,0.9999999999999997,woman vs man
Deepseek,Scenario_8,gender_neutral,woman,0.24041709743689177,gender_neutral vs woman
Deepseek,Scenario_8,gender_neutral,man,0.22489809460979038,gender_neutral vs man
Deepseek,Scenario_8,woman,man,0.4210584445184789,woman vs man
Deepseek,Scenario_9,gender_neutral,woman,0.17497353100361612,gender_neutral vs woman
Deepseek,Scenario_9,gender_neutral,man,0.13425208832621124,gender_neutral vs man
Deepseek,Scenario_9,woman,man,0.19737133024829062,woman vs man
Deepseek,Scenario_10,gender_neutral,woman,0.3072687545917934,gender_neutral vs woman
Deepseek,Scenario_10,gender_neutral,man,0.3062429190614389,gender_neutral vs man
Deepseek,Scenario_10,woman,man,0.4112262082206812,woman vs man
Deepseek,Scenario_11,gender_neutral,woman,0.3225530377329614,gender_neutral vs woman
Deepseek,Scenario_11,gender_neutral,man,0.3844715666557137,gender_neutral vs man
Deepseek,Scenario_11,woman,man,0.26552566751363843,woman vs man
Deepseek,Scenario_12,gender_neutral,woman,0.30035095999954353,gender_neutral vs woman
