timestamp,class,confidence,bbox,snapshot
2026-04-07T16:43:33.155447,person,0.671,"[3.584716796875, 0.2559051513671875, 325.8272705078125, 240.7440185546875]",campguard_snapshots\detection_20260407_164333.jpg
2026-04-07T16:44:03.820638,person,0.910,"[49.09295654296875, 0.1437225341796875, 337.8589172363281, 239.69366455078125]",campguard_snapshots\detection_20260407_164403.jpg
2026-04-07T16:44:03.821149,person,0.759,"[0.4871368408203125, 95.60073852539062, 102.87052917480469, 227.20303344726562]",campguard_snapshots\detection_20260407_164403.jpg
2026-04-07T16:44:03.822161,person,0.722,"[413.9610900878906, 0.152313232421875, 639.4630126953125, 252.59005737304688]",campguard_snapshots\detection_20260407_164403.jpg
2026-04-07T16:44:34.520623,person,0.865,"[56.55548095703125, 3.389251708984375, 227.48629760742188, 202.26394653320312]",campguard_snapshots\detection_20260407_164434.jpg
2026-04-07T16:44:34.522462,person,0.754,"[0.0, 96.60791015625, 102.36490631103516, 227.29959106445312]",campguard_snapshots\detection_20260407_164434.jpg
2026-04-07T16:45:05.766386,person,0.902,"[259.18121337890625, 0.0, 511.8963623046875, 247.10281372070312]",campguard_snapshots\detection_20260407_164505.jpg
2026-04-07T16:45:05.767385,person,0.855,"[44.567138671875, 5.08221435546875, 233.22698974609375, 222.41751098632812]",campguard_snapshots\detection_20260407_164505.jpg
2026-04-07T16:45:05.768528,person,0.656,"[503.431640625, 0.3494873046875, 639.7286376953125, 253.12355041503906]",campguard_snapshots\detection_20260407_164505.jpg
2026-04-07T16:45:05.769541,person,0.537,"[22.240455627441406, 98.1127700805664, 104.59905242919922, 214.83297729492188]",campguard_snapshots\detection_20260407_164505.jpg
2026-04-07T16:45:37.137627,person,0.853,"[58.813140869140625, 1.5252685546875, 228.98260498046875, 217.1705322265625]",campguard_snapshots\detection_20260407_164537.jpg
2026-04-07T16:45:37.139040,person,0.843,"[279.5218505859375, 0.0238189697265625, 476.1668701171875, 247.40521240234375]",campguard_snapshots\detection_20260407_164537.jpg
2026-04-07T16:45:37.139040,person,0.618,"[13.600120544433594, 98.47235107421875, 100.07745361328125, 223.40707397460938]",campguard_snapshots\detection_20260407_164537.jpg
2026-04-07T16:45:37.140055,person,0.597,"[485.0083923339844, 0.0, 639.4923095703125, 254.03366088867188]",campguard_snapshots\detection_20260407_164537.jpg
2026-04-07T16:46:07.981010,person,0.797,"[72.41748046875, 5.5156707763671875, 245.39859008789062, 219.14051818847656]",campguard_snapshots\detection_20260407_164607.jpg
2026-04-07T16:46:07.981010,person,0.768,"[264.054443359375, 0.088226318359375, 484.19140625, 248.70486450195312]",campguard_snapshots\detection_20260407_164607.jpg
2026-04-07T16:46:07.982477,person,0.716,"[4.179161071777344, 100.99853515625, 113.337158203125, 222.95590209960938]",campguard_snapshots\detection_20260407_164607.jpg
2026-04-07T16:46:07.983540,person,0.581,"[469.47235107421875, 0.1044921875, 639.3959350585938, 254.36740112304688]",campguard_snapshots\detection_20260407_164607.jpg
2026-04-07T16:46:38.837371,person,0.853,"[257.74224853515625, 0.2028656005859375, 483.61456298828125, 249.53817749023438]",campguard_snapshots\detection_20260407_164638.jpg
2026-04-07T16:46:38.838782,person,0.849,"[86.94891357421875, 0.0, 264.0225524902344, 220.22879028320312]",campguard_snapshots\detection_20260407_164638.jpg
2026-04-07T16:46:38.840242,person,0.753,"[522.3075561523438, 0.446502685546875, 639.3766479492188, 255.72366333007812]",campguard_snapshots\detection_20260407_164638.jpg
2026-04-07T16:46:38.840750,person,0.575,"[1.7425880432128906, 101.60758209228516, 128.5643310546875, 223.13876342773438]",campguard_snapshots\detection_20260407_164638.jpg
2026-04-07T16:47:10.307053,person,0.869,"[72.7156982421875, 0.2909393310546875, 378.846923828125, 241.72796630859375]",campguard_snapshots\detection_20260407_164710.jpg
2026-04-07T16:47:10.308053,person,0.680,"[449.1459045410156, 0.390289306640625, 639.2996826171875, 251.45358276367188]",campguard_snapshots\detection_20260407_164710.jpg
2026-04-07T16:47:10.309325,person,0.604,"[1.2555313110351562, 101.89688873291016, 80.77982330322266, 225.21469116210938]",campguard_snapshots\detection_20260407_164710.jpg
2026-04-07T16:47:41.060019,person,0.864,"[5.35504150390625, 0.2262115478515625, 328.36187744140625, 239.47463989257812]",campguard_snapshots\detection_20260407_164741.jpg
2026-04-07T16:47:41.061168,person,0.755,"[434.857177734375, 0.7414398193359375, 639.5953369140625, 253.65541076660156]",campguard_snapshots\detection_20260407_164741.jpg
2026-04-07T16:47:41.062242,person,0.557,"[0.0, 101.1529312133789, 57.03257751464844, 226.90182495117188]",campguard_snapshots\detection_20260407_164741.jpg
2026-04-07T16:48:18.922468,cat,0.594,"[261.23193359375, 0.393707275390625, 639.517578125, 278.8421936035156]",campguard_snapshots\detection_20260407_164818.jpg
2026-04-07T16:48:50.246613,person,0.743,"[439.20318603515625, 0.0, 639.6359252929688, 173.8666229248047]",campguard_snapshots\detection_20260407_164850.jpg
2026-04-07T16:49:23.759024,person,0.634,"[8.49853515625, 0.699127197265625, 639.01416015625, 213.52734375]",campguard_snapshots\detection_20260407_164923.jpg
2026-04-07T16:49:55.100646,person,0.732,"[20.1446533203125, 3.2760772705078125, 635.10546875, 209.40652465820312]",campguard_snapshots\detection_20260407_164955.jpg
2026-04-07T16:49:55.101653,person,0.536,"[457.22784423828125, 0.0, 630.7339477539062, 145.3807373046875]",campguard_snapshots\detection_20260407_164955.jpg
2026-04-07T16:50:50.689329,person,0.725,"[345.43365478515625, 0.0, 638.9398803710938, 244.44424438476562]",campguard_snapshots\detection_20260407_165050.jpg
2026-04-07T16:51:24.165863,person,0.767,"[503.6713562011719, 0.241363525390625, 639.696044921875, 198.60507202148438]",campguard_snapshots\detection_20260407_165124.jpg
2026-04-07T16:51:55.964255,person,0.602,"[230.82310485839844, 0.0, 635.3455810546875, 219.4818115234375]",campguard_snapshots\detection_20260407_165155.jpg
2026-04-07T16:52:27.384234,person,0.908,"[478.678955078125, 0.2274932861328125, 639.64208984375, 204.82098388671875]",campguard_snapshots\detection_20260407_165227.jpg
2026-04-07T16:52:59.165358,person,0.898,"[469.40679931640625, 0.08721923828125, 639.7184448242188, 204.71315002441406]",campguard_snapshots\detection_20260407_165259.jpg
2026-04-07T16:53:30.619645,person,0.895,"[496.40411376953125, 0.0, 639.7114868164062, 204.64968872070312]",campguard_snapshots\detection_20260407_165330.jpg
2026-04-07T16:54:01.819391,person,0.896,"[493.3608093261719, 0.4886474609375, 639.80126953125, 204.197509765625]",campguard_snapshots\detection_20260407_165401.jpg
2026-04-07T16:54:33.491327,person,0.913,"[489.7558288574219, 0.140045166015625, 639.60791015625, 204.4662322998047]",campguard_snapshots\detection_20260407_165433.jpg
2026-04-07T16:55:05.275367,person,0.907,"[499.96502685546875, 0.2510528564453125, 639.5798950195312, 205.56515502929688]",campguard_snapshots\detection_20260407_165505.jpg
2026-04-07T16:55:37.012671,person,0.882,"[467.7756652832031, 0.1538543701171875, 639.70751953125, 206.14553833007812]",campguard_snapshots\detection_20260407_165537.jpg
